"Comment","Designator","Footprint","JLCPCB Part #"
"1uF","C1","Capacitor_SMD:C_0402_1005Metric","C52923"
"74HCT245","U1","Package_DFN_QFN:DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm","C547496"
